EncounterLayerID,MapID,Name,FriendlyName,Description,BattleValue,ContractTypeID,EncounterLayerGUID,TagSetID,IncludeInBuild,,,,,,,,,,,,,,,
DestructGallery.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,DestructGallery,encGeneral_Battle,Test Battle,,0,3,7dc14ddb-b0e4-4f23-943f-e3364cda94ea,DestructGallery.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,1,,,,,,,,,,,,,,,
mapTest_ECMBox_uTech.778d4a4f-d8ad-4fc3-86ee-0430d9fb5045,mapTest_ECMBox_uTech,encGeneral_Battle,,,0,3,778d4a4f-d8ad-4fc3-86ee-0430d9fb5045,mapTest_ECMBox_uTech.778d4a4f-d8ad-4fc3-86ee-0430d9fb5045,1,,,,,,,,,,,,,,,
mapTest_PerfomanceTest_uTech.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,mapTest_PerfomanceTest_uTech,encGeneral_Battle,Test Battle 1,,0,3,7dc14ddb-b0e4-4f23-943f-e3364cda94ea,mapTest_PerfomanceTest_uTech.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,1,,,,,,,,,,,,,,,
mapTest_SignageScene_uTech.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,mapTest_SignageScene_uTech,encGeneral_Battle,Test Battle,,0,3,7dc14ddb-b0e4-4f23-943f-e3364cda94ea,mapTest_SignageScene_uTech.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,1,,,,,,,,,,,,,,,
mapTest_UWPOC2_uTech.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,mapTest_UWPOC2_uTech,encGeneral_Battle,Test Battle 1,,0,3,7dc14ddb-b0e4-4f23-943f-e3364cda94ea,mapTest_UWPOC2_uTech.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,1,,,,,,,,,,,,,,,
mapTest_UWPOC_uTech.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,mapTest_UWPOC_uTech,encGeneral_Battle,Test Battle 1,,0,3,7dc14ddb-b0e4-4f23-943f-e3364cda94ea,mapTest_UWPOC_uTech.7dc14ddb-b0e4-4f23-943f-e3364cda94ea,1,,,,,,,,,,,,,,,
test_encounters.c1dd76b9-5f5f-46f1-b5a2-d1f22dd4991b,test_encounters,encGeneral_Battle,,,0,3,c1dd76b9-5f5f-46f1-b5a2-d1f22dd4991b,test_encounters.c1dd76b9-5f5f-46f1-b5a2-d1f22dd4991b,0,,,,,,,,,,,,,,,
mapGeneral_riverDelta_vLow.a92bff88-a599-47bf-95be-9a746e0f6507,mapGeneral_riverDelta_vLow,encGeneral_Battle,Battle 1,,0,3,a92bff88-a599-47bf-95be-9a746e0f6507,mapGeneral_riverDelta_vLow.a92bff88-a599-47bf-95be-9a746e0f6507,1,,,,,,,,,,,,,,,
mapGeneral_riverDelta_vLow.49536acc-58db-4a3a-b488-cc487eebf9ca,mapGeneral_riverDelta_vLow,encGeneral_Battle (1),Battle 2,,0,3,49536acc-58db-4a3a-b488-cc487eebf9ca,mapGeneral_riverDelta_vLow.49536acc-58db-4a3a-b488-cc487eebf9ca,1,,,,,,,,,,,,,,,
mapGeneral_Interchange_aDes.fbc713b4-b147-4f8f-ba70-200f9f6073bc,mapGeneral_Interchange_aDes,encGeneral_Battle,Battle 3,,0,3,fbc713b4-b147-4f8f-ba70-200f9f6073bc,mapGeneral_Interchange_aDes.fbc713b4-b147-4f8f-ba70-200f9f6073bc,1,,,,,,,,,,,,,,,
mapGeneral_Interchange_aDes.6e7a814e-e7d7-484a-be86-f6baac24ddb0,mapGeneral_Interchange_aDes,encGeneral_Battle (1),Battle 1,,0,3,6e7a814e-e7d7-484a-be86-f6baac24ddb0,mapGeneral_Interchange_aDes.6e7a814e-e7d7-484a-be86-f6baac24ddb0,1,,,,,,,,,,,,,,,
mapGeneral_Interchange_aDes.6ba34102-2c4e-4b3e-9d85-01765f69d518,mapGeneral_Interchange_aDes,encGeneral_Battle (2),Battle 2,,0,3,6ba34102-2c4e-4b3e-9d85-01765f69d518,mapGeneral_Interchange_aDes.6ba34102-2c4e-4b3e-9d85-01765f69d518,1,,,,,,,,,,,,,,,
mapGeneral_rockyCliffs_vHigh.f7c27ab4-92d5-4f96-afd7-2b29a47e5880,mapGeneral_rockyCliffs_vHigh,encGeneral_Battle,Battle,,0,3,f7c27ab4-92d5-4f96-afd7-2b29a47e5880,mapGeneral_rockyCliffs_vHigh.f7c27ab4-92d5-4f96-afd7-2b29a47e5880,1,,,,,,,,,,,,,,,
mapGeneral_rockyCliffs_vHigh.8257c1a0-757c-4d88-a98c-b8938b7addb7,mapGeneral_rockyCliffs_vHigh,encGeneral_Battle (1),Battle 2,,0,3,8257c1a0-757c-4d88-a98c-b8938b7addb7,mapGeneral_rockyCliffs_vHigh.8257c1a0-757c-4d88-a98c-b8938b7addb7,1,,,,,,,,,,,,,,,
